"Neighbourhood","Neighbourhood Id","Combined Indicators","Drug Arrests","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Murders","Thefts","Arsons","Pop - Males","Pop - Females","Child 0-14","Youth 15-24","   Chinese","   South Asian","   Black","   Latin American","   Arab","   Unemployed"
"Humewood-Cedarvale",106.0,"N/A",4.0,47.0,4.0,26.0,7.0,17.0,0.0,5.0,0.0,6615.0,7745.0,2165.0,1610.0,295.0,320.0,710.0,530.0,115.0,630.0
"Oakwood Village",107.0,"N/A",30.0,110.0,8.0,22.0,18.0,24.0,0.0,1.0,1.0,10090.0,11120.0,3130.0,2275.0,880.0,625.0,2720.0,1325.0,110.0,800.0
"Briar Hill-Belgravia",108.0,"N/A",20.0,53.0,4.0,31.0,15.0,16.0,0.0,6.0,0.0,6625.0,7630.0,1855.0,1655.0,260.0,410.0,1170.0,920.0,45.0,725.0
"Caledonia-Fairbank",109.0,"N/A",15.0,60.0,7.0,13.0,18.0,13.0,0.0,1.0,0.0,4920.0,5030.0,1490.0,1220.0,235.0,230.0,860.0,825.0,0.0,400.0
"Keelesdale-Eglinton West",110.0,"N/A",9.0,49.0,5.0,14.0,23.0,17.0,0.0,0.0,0.0,5350.0,5710.0,1610.0,1430.0,160.0,915.0,1195.0,910.0,25.0,485.0
"Rockcliffe-Smythe",111.0,"N/A",37.0,123.0,11.0,37.0,46.0,36.0,0.0,3.0,3.0,10750.0,11495.0,3505.0,2740.0,465.0,990.0,3400.0,2200.0,145.0,1030.0
"Beechborough-Greenbrook",112.0,"N/A",21.0,50.0,14.0,12.0,10.0,7.0,0.0,3.0,0.0,3100.0,3475.0,1120.0,855.0,110.0,330.0,2070.0,335.0,70.0,355.0
"Weston",113.0,"N/A",56.0,169.0,11.0,43.0,35.0,39.0,4.0,2.0,4.0,8545.0,9455.0,3100.0,2225.0,335.0,765.0,6045.0,1390.0,120.0,965.0
"Lambton Baby Point",114.0,"N/A",5.0,21.0,2.0,8.0,2.0,1.0,0.0,1.0,0.0,3750.0,4235.0,1695.0,905.0,175.0,270.0,835.0,150.0,40.0,320.0
"Mount Dennis",115.0,"N/A",20.0,83.0,7.0,30.0,24.0,14.0,0.0,0.0,6.0,6425.0,7160.0,2395.0,1815.0,310.0,510.0,4360.0,1380.0,75.0,745.0
"Steeles",116.0,"N/A",7.0,36.0,2.0,48.0,13.0,28.0,0.0,3.0,0.0,11730.0,12890.0,3150.0,2685.0,17755.0,1560.0,595.0,30.0,515.0,1045.0
"L'Amoreaux",117.0,"N/A",15.0,136.0,8.0,48.0,31.0,28.0,2.0,5.0,3.0,20600.0,23375.0,6120.0,5730.0,16165.0,7240.0,3625.0,415.0,990.0,2300.0
"Tam O'Shanter-Sullivan",118.0,"N/A",7.0,91.0,5.0,60.0,12.0,23.0,0.0,7.0,1.0,12755.0,14690.0,3885.0,3225.0,8665.0,4690.0,1860.0,360.0,570.0,1175.0
"Wexford/Maryvale",119.0,"N/A",10.0,152.0,10.0,74.0,21.0,40.0,2.0,11.0,1.0,13575.0,14340.0,4215.0,3650.0,1910.0,4195.0,2055.0,600.0,1185.0,1285.0
"Clairlea-Birchmount",120.0,"N/A",46.0,215.0,11.0,88.0,30.0,48.0,1.0,16.0,3.0,13135.0,13865.0,4565.0,3495.0,2120.0,6140.0,2670.0,375.0,160.0,1240.0
"Oakridge",121.0,"N/A",23.0,113.0,12.0,57.0,25.0,11.0,0.0,10.0,1.0,6740.0,7110.0,2865.0,1680.0,705.0,4800.0,2500.0,145.0,125.0,900.0
"Birchcliffe-Cliffside",122.0,"N/A",22.0,163.0,8.0,76.0,19.0,16.0,0.0,6.0,0.0,10730.0,11565.0,3345.0,2440.0,1190.0,1405.0,890.0,225.0,105.0,1055.0
"Cliffcrest",123.0,"N/A",18.0,89.0,9.0,57.0,18.0,10.0,0.0,3.0,0.0,7740.0,8195.0,2575.0,2145.0,765.0,3000.0,990.0,135.0,80.0,795.0
"Kennedy Park",124.0,"N/A",18.0,183.0,11.0,45.0,27.0,11.0,0.0,4.0,1.0,8325.0,8805.0,2775.0,2175.0,1035.0,4165.0,2130.0,250.0,165.0,775.0
"Ionview",125.0,"N/A",13.0,82.0,10.0,17.0,8.0,5.0,0.0,4.0,0.0,6470.0,7165.0,2310.0,1645.0,600.0,3730.0,1705.0,225.0,235.0,610.0
"Dorset Park",126.0,"N/A",28.0,154.0,10.0,69.0,41.0,45.0,0.0,13.0,0.0,11715.0,13285.0,4250.0,3155.0,2745.0,7245.0,2205.0,270.0,810.0,1230.0
"Bendale",127.0,"N/A",30.0,195.0,30.0,56.0,55.0,46.0,3.0,12.0,2.0,14405.0,15560.0,4550.0,4605.0,4400.0,8305.0,1910.0,530.0,335.0,1255.0
"Agincourt South-Malvern West",128.0,"N/A",9.0,106.0,9.0,61.0,18.0,26.0,0.0,11.0,0.0,11605.0,12155.0,3075.0,3360.0,11110.0,4190.0,1545.0,230.0,300.0,1185.0
